,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,T
118987,118989,,,,NN 3870,,,14.875463,0.167149,25.641,93.56,-306.02,0.0,12.58,10.535,M2,1.58,-18.712242,-17.530181,0.074803,7.87e-06,-8.56e-06,-3.804e-05,3.894386981583976,0.002917308386,4.535916795277778e-07,-1.4836122800000002e-06,,,,1,118989,,0.005321082592667937,,,,3677.014628784035
118988,118990,,,,NN 3871,,,14.874548,12.391729,16.3934,-55.64,-223.17,0.0,11.61,10.537,k,1.52,-11.687509,-10.943941,3.517931,-5.8e-06,6.3e-07,-1.732e-05,3.8941474524834065,0.21627647455029997,-2.6975033186111114e-07,-1.081948994e-06,,,Boo,1,118990,,0.005311289818550127,,,,3763.6701294642344
118989,118991,,,,GJ 1186,,,14.893726000000001,11.569003,18.5529,69.97,-726.64,0.0,15.29,13.948,m,1.82,-13.204917000000002,-12.489849000000001,3.720746,-5.21e-06,-1.359e-05,-6.402e-05,3.8991683062066143,0.201917189736,3.392241322847223e-07,-3.5228452799999995e-06,,,,1,118991,,0.00022950914760242223,,,,3368.086761061877
118990,118992,,,,Gl 568B,,,14.897875,23.55593,10.2218,-682.06,104.37,0.0,12.7,12.652000000000001,,,-6.800458,-6.446013,4.085082,-2.176e-05,2.595e-05,4.74e-06,3.9002545119905196,0.4111285387595,-3.3067201895972225e-06,5.0599519e-07,,,,2,72665,Gl 568,0.0007571815097147057,,,,
118991,118993,,,,NN 3873,,,14.907577999999999,35.548775,11.6279,154.1,-815.57,0.0,12.31,11.982000000000001,M3.5,,-6.849563000000001,-6.525978,6.760412,-1.337e-05,-2.473e-05,-3.74e-05,3.902794689894087,0.6204431627381,7.470978817361111e-07,-3.953985238e-06,,,,1,118993,,0.0014034598729211756,,,,
118992,118994,,,,NN 3875,,,14.915448999999999,41.145808,24.3902,-222.86,133.91,0.0,14.67,12.734000000000002,m,,-13.271742999999999,-12.696373,16.048203,-1.069e-05,2.624e-05,1.192e-05,3.904855348211576,0.7181298194575501,-1.0804557684861109e-06,6.49209151e-07,,,,1,118994,,0.0007021016602403138,,,,
118993,118995,,,,NN 3877,,,14.944004000000001,-28.165378999999998,6.2112,-481.45,-830.54,0.0,17.05,18.084,dM8,1.34,-3.928325,-3.814685,-2.9317990000000003,-1.64e-06,1.862e-05,-2.205e-05,3.912331101226748,-0.49157859378915003,-2.3341354650347216e-06,-4.026595783e-06,,,,1,118995,,5.0862769030643615e-06,,,,4051.195836831378
118994,118996,,,,NN 3878A,,,14.940757000000001,17.914998,16.6667,-861.65,487.5,8.0,15.5,14.390999999999998,M5,,-11.386686,-11.038607,5.126898000000001,-4.536e-05,5.299e-05,4e-05,3.9114809981460734,0.3126757010922,-4.177397078506945e-06,2.363461844e-06,,,,1,118996,NN 3878,0.00015261597656254618,,,,
118995,118997,,,,NN 3879B,,,14.941033,17.918345000000002,16.6667,-861.65,487.5,9.0,18.6,17.491,M7  :,,-11.385705999999999,-11.039258,5.127839,-4.606e-05,5.231e-05,4.031e-05,3.9115534211460745,0.31273412209220003,-4.177397078506945e-06,2.363461844e-06,,,,2,118997,NN 3879,8.782132798980061e-06,,,,
118996,118998,,,,NN 3882,,,14.955627999999999,14.981675,24.4499,-555.81,197.92,0.0,14.73,12.789000000000001,m,1.68,-16.893977,-16.505812,6.320546,-4.171e-05,5.135e-05,2.266e-05,3.915374292854105,0.2614795511922,-2.694642917895833e-06,9.59523844e-07,,,,1,118998,,0.0006674212038584765,,,,3541.426071171437
118997,118999,,,,GJ 1187,,,14.964526999999999,56.654821,11.1857,268.97,-624.54,10.0,15.53,15.287,m,1.95,-4.3878580000000005,-4.307567,9.344673,-1.399e-05,-3.416e-05,-1.007e-05,3.9177040561678296,0.9888131645048,1.304003356590278e-06,-3.027869904e-06,,,,1,118999,,6.686517721976388e-05,,,,3222.093597308962
118998,119000,,,,NN 3884,,,15.019706,7.162501,16.129,-491.79,-90.26,0.0,12.73,11.692,M3.5,1.49,-11.257408999999999,-11.374144,2.011027,-2.795e-05,2.642e-05,-7e-06,3.93214975474002,0.12500923360105,-2.3842651996041664e-06,-4.3758797899999996e-07,,,,1,119000,,0.0018331584286708515,,,,3808.609875061861
118999,119001,,,,NN 3886,,,15.01985,35.453731,23.2558,174.28,-268.37,0.0,12.05,10.217,M2,,-13.325370999999999,-13.464854,13.489419,1.62e-06,-2.63e-05,-2.464e-05,3.9321876336641233,0.61878434630665,8.449332824722222e-07,-1.301113867e-06,,,,1,119001,,0.007131813866797395,,,,
119002,119004,,,,NN 3888,,,15.082697,-21.118199,20.4082,-650.42,-230.33,0.0,14.7,13.151,m,,-13.167175,-13.749709,-7.352933999999999,-4.081e-05,5.043e-05,-2.126e-05,3.9486407497429465,-0.36858210459785,-3.1533251410694444e-06,-1.116651957e-06,,,,1,119004,,0.0004781894606659079,,,,
119003,119005,,,,Gl 575.1,,,15.07285,29.476124,22.0751,237.55,-166.34,0.0,12.75,11.03,k-m,1.53,-13.327232,-13.845776999999998,10.862292,1.224e-05,-2.394e-05,-1.55e-05,3.9460630257449085,0.5144554167734501,1.1516748981597224e-06,-8.06424531e-07,,,,1,119005,,0.003372873086588689,,,,3748.9340370997115
119004,119006,,,,NN 3889,,,15.096919,-7.245963000000001,25.5754,-199.51,-13.95,0.0,15.9,13.860999999999999,DA7,0.39,-17.479193,-18.389484,-3.225802,-1.778e-05,1.72e-05,-1.72e-06,3.9523641854112963,-0.12646590781779998,-9.672517740763888e-07,-6.763635599999999e-08,,,,1,119006,,0.0002486566051307932,,,,6933.9434519686
119005,119007,,,,NN 3891,,,15.097407999999998,55.077436999999996,18.5185,-456.25,149.12,0.0,13.35,12.012,m,,-7.303278999999999,-7.684328999999999,15.183809,-2.213e-05,3.617e-05,7.66e-06,3.9524921618791233,0.9612826196776,-2.2119624175347227e-06,7.22973552e-07,,,,1,119007,,0.001365211695066444,,,,
119007,119009,,,,NN 3893,,,15.167867000000001,19.356916000000002,14.4928,3.21,-459.99,0.0,13.35,12.544,m,,-9.23455,-10.084104,4.8036650000000005,-7.07e-06,-8.05e-06,-3.049e-05,3.970938259125957,0.3378419117624,1.5562519145833332e-08,-2.230084752e-06,,,,1,119009,,0.0008363729915840253,,,,
119009,119011,,,,NN 3894,,,15.197526000000002,-10.240098,14.7059,-976.67,-214.74,0.0,14.26,13.423,M4,1.66,-9.690432000000001,-10.748225999999999,-2.61432,-4.99e-05,4.863e-05,-1.507e-05,3.9787030795113063,-0.1787234332328,-4.735029773881943e-06,-1.041064656e-06,,,,1,119011,,0.0003722202530178498,,,,3567.709122237435
119010,119012,,,,NN 3895,,,15.198951999999998,17.954058,23.6407,-389.07,-545.46,-58.0,13.45,11.582,m,1.51,-15.051185999999998,-16.706652,7.286433000000001,-8.27e-06,5.744e-05,-7.776e-05,3.979076324770653,0.31335743349215,-1.8862645869375e-06,-2.6444501569999993e-06,,,,1,119012,,0.0020286167169662906,,,,3778.5271011150085
119011,119013,,,,NN 3898,,,15.210632,45.727614,13.8889,-400.0,347.71,0.0,13.35,12.637,m,,-6.467731,-7.222867,9.944859,-8.89e-06,3.045e-05,1.634e-05,3.9821342292638886,0.7980974265248001,-1.9392547222222217e-06,1.685750496e-06,,,,1,119013,,0.0007677149537690268,,,,
119013,119015,,,,NN 3899,,,15.287056,3.167462,19.6078,207.92,-387.77,0.0,14.02,12.558,DA wk,,-12.76517,-14.843938,1.0834190000000001,1.365e-05,-1.443e-05,-3.68e-05,4.00214180523023,0.05528263517235,1.0080246046111108e-06,-1.8799765530000002e-06,,,,1,119015,,0.0008256576326213262,,,,
119014,119016,,,,NN 3900,,,15.319892000000001,-12.75336,13.3333,-690.35,-204.49,0.0,12.58,11.955,M3,1.52,-8.394086999999999,-9.932405000000001,-2.943388,-3.22e-05,3.102e-05,-1.289e-05,4.0107383154378144,-0.22258813001715,-3.3469112437152773e-06,-9.91400343e-07,,,,1,119016,,0.0014387985782558436,,,,3763.6701294642344
119015,119017,,,,NN 3902,,,15.321876000000001,67.85549499999999,22.2222,-465.92,393.73,0.0,13.44,11.706,m,,-5.404743,-6.399598999999999,20.583004000000003,-1.302e-05,6.239e-05,1.599e-05,4.0112576618049784,1.1843018116028001,-2.2588439004444444e-06,1.9088520559999998e-06,,,,1,119017,,0.001809672554788791,,,,
119017,119019,,,,GJ 2112A,,,15.370228,-27.82965,16.6667,428.67,603.19,0.0,13.28,12.171,M3 :,1.7,-9.364408000000001,-11.381853999999999,-7.780755999999999,1.228e-05,-3.958e-05,4.309e-05,4.023916280540222,-0.4857190276484,2.0782508044375e-06,2.9243670319999997e-06,,,,1,119019,GJ 2112,0.0011792340206530025,,,,3515.540831717302
119019,119021,,,,Gl 585,,,15.397503,17.465257,11.7509,-375.74,-1244.52,84.0,13.68,13.33,M4,1.78,-7.062474000000001,-8.709702,3.528058,-8.164e-05,-6.672e-05,-4.181e-05,4.0310567510538355,0.3048262310512,-1.8216389233194446e-06,-6.033578976e-06,,,,1,119021,,0.0004055085354483835,,,,3415.7978708585397
119020,119022,,,,Gl 586C,,,15.462473999999998,-9.028458,19.8649,43.14,-306.98,0.0,15.41,13.92,k-m,1.84,-12.095489,-15.446549,-3.1173,6.13e-06,1.09e-06,-2.92e-05,4.04806633043109,-0.157576312779,2.0914862179166666e-07,-1.4882955800000003e-06,,,,3,75489,Gl 586,0.00023550492838960094,,,,3344.7434741044394
119021,119023,,,,NN 3907,,,15.495482,42.878934,19.5695,381.84,-574.72,0.0,14.17,12.712,m,1.73,-8.742948,-11.366961,13.316095,6.08e-06,-5.15e-05,-3.995e-05,4.056707605627892,0.7483785851528001,1.851212557833333e-06,-2.7862969439999994e-06,,,,1,119023,,0.0007164732823911086,,,,3477.438781509776
119022,119024,,,,NN 3908,,,15.527229,-26.923510999999998,23.2558,-364.86,-437.92,0.0,13.7,11.867,M3.5,,-12.505348,-16.539727,-10.53024,-1.934e-05,4.263e-05,-4.402e-05,4.0650190784402565,-0.4699039090459,-1.7688911948750004e-06,-2.123100918e-06,,,,1,119024,,0.0015602708686930586,,,,
119023,119025,,,,NN 3910,,,15.531768,28.851056,16.129,-568.08,46.7,0.0,14.3,13.262,m,,-8.506697,-11.27869,7.782797,-3.441e-05,2.815e-05,3.2e-06,4.066207345522175,0.5035459233690499,-2.7541295565e-06,2.2642738100000003e-07,,,,1,119025,,0.00043171784447092215,,,,
